DATE_LT_,Beijing_Death,Shanghai_Death,Year,Month,Day
22/1/2020,0,0,2020,1,22
23/1/2020,0,0,2020,1,23
24/1/2020,0,0,2020,1,24
25/1/2020,0,0,2020,1,25
26/1/2020,0,1,2020,1,26
27/1/2020,1,0,2020,1,27
28/1/2020,0,0,2020,1,28
29/1/2020,0,0,2020,1,29
30/1/2020,0,0,2020,1,30
31/1/2020,0,0,2020,1,31
1/2/2020,0,0,2020,2,1
2/2/2020,0,0,2020,2,2
3/2/2020,0,0,2020,2,3
4/2/2020,0,0,2020,2,4
5/2/2020,0,0,2020,2,5
6/2/2020,0,0,2020,2,6
7/2/2020,0,0,2020,2,7
8/2/2020,1,0,2020,2,8
9/2/2020,0,0,2020,2,9
10/2/2020,0,0,2020,2,10
11/2/2020,1,0,2020,2,11
12/2/2020,0,0,2020,2,12
13/2/2020,0,0,2020,2,13
14/2/2020,0,0,2020,2,14
15/2/2020,1,0,2020,2,15
16/2/2020,0,0,2020,2,16
17/2/2020,0,0,2020,2,17
18/2/2020,0,0,2020,2,18
19/2/2020,0,1,2020,2,19
20/2/2020,0,0,2020,2,20
21/2/2020,0,0,2020,2,21
22/2/2020,0,1,2020,2,22
23/2/2020,0,0,2020,2,23
24/2/2020,0,0,2020,2,24
25/2/2020,0,0,2020,2,25
26/2/2020,0,0,2020,2,26
27/2/2020,1,0,2020,2,27
28/2/2020,2,0,2020,2,28
29/2/2020,1,0,2020,2,29
1/3/2020,0,0,2020,3,1
2/3/2020,0,0,2020,3,2
3/3/2020,0,0,2020,3,3
4/3/2020,0,0,2020,3,4
5/3/2020,0,0,2020,3,5
6/3/2020,0,0,2020,3,6
7/3/2020,0,0,2020,3,7
8/3/2020,0,0,2020,3,8
9/3/2020,0,0,2020,3,9
10/3/2020,0,0,2020,3,10
11/3/2020,0,0,2020,3,11
12/3/2020,0,0,2020,3,12
13/3/2020,0,0,2020,3,13
14/3/2020,0,0,2020,3,14
15/3/2020,0,0,2020,3,15
16/3/2020,0,0,2020,3,16
17/3/2020,0,0,2020,3,17
18/3/2020,0,0,2020,3,18
19/3/2020,0,0,2020,3,19
20/3/2020,0,0,2020,3,20
21/3/2020,0,0,2020,3,21
22/3/2020,0,1,2020,3,22
23/3/2020,0,0,2020,3,23
24/3/2020,0,0,2020,3,24
25/3/2020,0,1,2020,3,25
26/3/2020,0,0,2020,3,26
27/3/2020,0,0,2020,3,27
28/3/2020,0,0,2020,3,28
29/3/2020,0,0,2020,3,29
30/3/2020,0,0,2020,3,30
31/3/2020,0,0,2020,3,31
1/4/2020,0,1,2020,4,1
2/4/2020,0,0,2020,4,2
3/4/2020,0,0,2020,4,3
4/4/2020,0,0,2020,4,4
5/4/2020,0,0,2020,4,5
6/4/2020,0,0,2020,4,6
7/4/2020,0,0,2020,4,7
8/4/2020,0,1,2020,4,8
9/4/2020,0,0,2020,4,9
10/4/2020,0,0,2020,4,10
11/4/2020,0,0,2020,4,11
12/4/2020,0,0,2020,4,12
13/4/2020,0,0,2020,4,13
14/4/2020,0,0,2020,4,14
15/4/2020,0,0,2020,4,15
16/4/2020,0,0,2020,4,16
17/4/2020,0,0,2020,4,17
18/4/2020,0,0,2020,4,18
19/4/2020,0,0,2020,4,19
20/4/2020,0,0,2020,4,20
21/4/2020,0,0,2020,4,21
22/4/2020,0,0,2020,4,22
23/4/2020,0,0,2020,4,23
24/4/2020,0,0,2020,4,24
25/4/2020,0,0,2020,4,25
26/4/2020,1,0,2020,4,26
27/4/2020,0,0,2020,4,27
28/4/2020,0,0,2020,4,28
29/4/2020,0,0,2020,4,29
30/4/2020,0,0,2020,4,30
1/5/2020,0,0,2020,5,1
2/5/2020,0,0,2020,5,2
3/5/2020,0,0,2020,5,3
4/5/2020,0,0,2020,5,4
5/5/2020,0,0,2020,5,5
6/5/2020,0,0,2020,5,6
7/5/2020,0,0,2020,5,7
8/5/2020,0,0,2020,5,8
9/5/2020,0,0,2020,5,9
10/5/2020,0,0,2020,5,10
11/5/2020,0,0,2020,5,11
12/5/2020,0,0,2020,5,12
13/5/2020,0,0,2020,5,13
14/5/2020,0,0,2020,5,14
15/5/2020,0,0,2020,5,15
16/5/2020,0,0,2020,5,16
17/5/2020,0,0,2020,5,17
18/5/2020,0,0,2020,5,18
19/5/2020,0,0,2020,5,19
20/5/2020,0,0,2020,5,20
21/5/2020,0,0,2020,5,21
22/5/2020,0,0,2020,5,22
23/5/2020,0,0,2020,5,23
24/5/2020,0,0,2020,5,24
25/5/2020,0,0,2020,5,25
26/5/2020,0,0,2020,5,26
27/5/2020,0,0,2020,5,27
28/5/2020,0,0,2020,5,28
29/5/2020,0,0,2020,5,29
30/5/2020,0,0,2020,5,30
31/5/2020,0,0,2020,5,31
1/6/2020,0,0,2020,6,1
2/6/2020,0,0,2020,6,2
3/6/2020,0,0,2020,6,3
4/6/2020,0,0,2020,6,4
5/6/2020,0,0,2020,6,5
6/6/2020,0,0,2020,6,6
7/6/2020,0,0,2020,6,7
8/6/2020,0,0,2020,6,8
9/6/2020,0,0,2020,6,9
10/6/2020,0,0,2020,6,10
11/6/2020,0,0,2020,6,11
12/6/2020,0,0,2020,6,12
13/6/2020,0,0,2020,6,13
14/6/2020,0,0,2020,6,14
15/6/2020,0,0,2020,6,15
16/6/2020,0,0,2020,6,16
17/6/2020,0,0,2020,6,17
18/6/2020,0,0,2020,6,18
19/6/2020,0,0,2020,6,19
20/6/2020,0,0,2020,6,20
21/6/2020,0,0,2020,6,21
22/6/2020,0,0,2020,6,22
23/6/2020,0,0,2020,6,23
24/6/2020,0,0,2020,6,24
25/6/2020,0,0,2020,6,25
26/6/2020,0,0,2020,6,26
27/6/2020,0,0,2020,6,27
28/6/2020,0,0,2020,6,28
29/6/2020,0,0,2020,6,29
30/6/2020,0,0,2020,6,30
1/7/2020,0,0,2020,7,1
2/7/2020,0,0,2020,7,2
3/7/2020,0,0,2020,7,3
4/7/2020,0,0,2020,7,4
5/7/2020,0,0,2020,7,5
6/7/2020,0,0,2020,7,6
7/7/2020,0,0,2020,7,7
8/7/2020,0,0,2020,7,8
9/7/2020,0,0,2020,7,9
10/7/2020,0,0,2020,7,10
11/7/2020,0,0,2020,7,11
12/7/2020,0,0,2020,7,12
13/7/2020,0,0,2020,7,13
14/7/2020,0,0,2020,7,14
15/7/2020,0,0,2020,7,15
16/7/2020,0,0,2020,7,16
17/7/2020,0,0,2020,7,17
18/7/2020,0,0,2020,7,18
19/7/2020,0,0,2020,7,19
20/7/2020,0,0,2020,7,20
21/7/2020,0,0,2020,7,21
22/7/2020,0,0,2020,7,22
23/7/2020,0,0,2020,7,23
24/7/2020,0,0,2020,7,24
25/7/2020,0,0,2020,7,25
26/7/2020,0,0,2020,7,26
27/7/2020,0,0,2020,7,27
28/7/2020,0,0,2020,7,28
29/7/2020,0,0,2020,7,29
30/7/2020,0,0,2020,7,30
31/7/2020,0,0,2020,7,31
1/8/2020,0,0,2020,8,1
2/8/2020,0,0,2020,8,2
3/8/2020,0,0,2020,8,3
4/8/2020,0,0,2020,8,4
5/8/2020,0,0,2020,8,5
6/8/2020,0,0,2020,8,6
7/8/2020,0,0,2020,8,7
8/8/2020,0,0,2020,8,8
9/8/2020,0,0,2020,8,9
10/8/2020,0,0,2020,8,10
11/8/2020,0,0,2020,8,11
12/8/2020,0,0,2020,8,12
13/8/2020,0,0,2020,8,13
14/8/2020,0,0,2020,8,14
15/8/2020,0,0,2020,8,15
16/8/2020,0,0,2020,8,16
17/8/2020,0,0,2020,8,17
18/8/2020,0,0,2020,8,18
19/8/2020,0,0,2020,8,19
20/8/2020,0,0,2020,8,20
21/8/2020,0,0,2020,8,21
22/8/2020,0,0,2020,8,22
23/8/2020,0,0,2020,8,23
24/8/2020,0,0,2020,8,24
25/8/2020,0,0,2020,8,25
26/8/2020,0,0,2020,8,26
27/8/2020,0,0,2020,8,27
28/8/2020,0,0,2020,8,28
29/8/2020,0,0,2020,8,29
30/8/2020,0,0,2020,8,30
31/8/2020,0,0,2020,8,31
1/9/2020,0,0,2020,9,1
2/9/2020,0,0,2020,9,2
3/9/2020,0,0,2020,9,3
4/9/2020,0,0,2020,9,4
5/9/2020,0,0,2020,9,5
6/9/2020,0,0,2020,9,6
7/9/2020,0,0,2020,9,7
8/9/2020,0,0,2020,9,8
9/9/2020,0,0,2020,9,9
10/9/2020,0,0,2020,9,10
11/9/2020,0,0,2020,9,11
12/9/2020,0,0,2020,9,12
13/9/2020,0,0,2020,9,13
14/9/2020,0,0,2020,9,14
15/9/2020,0,0,2020,9,15
16/9/2020,0,0,2020,9,16
17/9/2020,0,0,2020,9,17
18/9/2020,0,0,2020,9,18
19/9/2020,0,0,2020,9,19
20/9/2020,0,0,2020,9,20
21/9/2020,0,0,2020,9,21
22/9/2020,0,0,2020,9,22
23/9/2020,0,0,2020,9,23
24/9/2020,0,0,2020,9,24
25/9/2020,0,0,2020,9,25
26/9/2020,0,0,2020,9,26
27/9/2020,0,0,2020,9,27
28/9/2020,0,0,2020,9,28
29/9/2020,0,0,2020,9,29
30/9/2020,0,0,2020,9,30
1/10/2020,0,0,2020,10,1
2/10/2020,0,0,2020,10,2
3/10/2020,0,0,2020,10,3
4/10/2020,0,0,2020,10,4
5/10/2020,0,0,2020,10,5
6/10/2020,0,0,2020,10,6
7/10/2020,0,0,2020,10,7
8/10/2020,0,0,2020,10,8
9/10/2020,0,0,2020,10,9
10/10/2020,0,0,2020,10,10
11/10/2020,0,0,2020,10,11
12/10/2020,0,0,2020,10,12
13/10/2020,0,0,2020,10,13
14/10/2020,0,0,2020,10,14
15/10/2020,0,0,2020,10,15
16/10/2020,0,0,2020,10,16
17/10/2020,0,0,2020,10,17
18/10/2020,0,0,2020,10,18
19/10/2020,0,0,2020,10,19
20/10/2020,0,0,2020,10,20
21/10/2020,0,0,2020,10,21
22/10/2020,0,0,2020,10,22
23/10/2020,0,0,2020,10,23
24/10/2020,0,0,2020,10,24
25/10/2020,0,0,2020,10,25
26/10/2020,0,0,2020,10,26
27/10/2020,0,0,2020,10,27
28/10/2020,0,0,2020,10,28
29/10/2020,0,0,2020,10,29
30/10/2020,0,0,2020,10,30
31/10/2020,0,0,2020,10,31
1/11/2020,0,0,2020,11,1
2/11/2020,0,0,2020,11,2
3/11/2020,0,0,2020,11,3
4/11/2020,0,0,2020,11,4
5/11/2020,0,0,2020,11,5
6/11/2020,0,0,2020,11,6
7/11/2020,0,0,2020,11,7
8/11/2020,0,0,2020,11,8
9/11/2020,0,0,2020,11,9
10/11/2020,0,0,2020,11,10
11/11/2020,0,0,2020,11,11
12/11/2020,0,0,2020,11,12
13/11/2020,0,0,2020,11,13
14/11/2020,0,0,2020,11,14
15/11/2020,0,0,2020,11,15
16/11/2020,0,0,2020,11,16
17/11/2020,0,0,2020,11,17
18/11/2020,0,0,2020,11,18
19/11/2020,0,0,2020,11,19
20/11/2020,0,0,2020,11,20
21/11/2020,0,0,2020,11,21
22/11/2020,0,0,2020,11,22
23/11/2020,0,0,2020,11,23
24/11/2020,0,0,2020,11,24
25/11/2020,0,0,2020,11,25
26/11/2020,0,0,2020,11,26
27/11/2020,0,0,2020,11,27
28/11/2020,0,0,2020,11,28
29/11/2020,0,0,2020,11,29
30/11/2020,0,0,2020,11,30
1/12/2020,0,0,2020,12,1
2/12/2020,0,0,2020,12,2
3/12/2020,0,0,2020,12,3
4/12/2020,0,0,2020,12,4
5/12/2020,0,0,2020,12,5
6/12/2020,0,0,2020,12,6
7/12/2020,0,0,2020,12,7
8/12/2020,0,0,2020,12,8
9/12/2020,0,0,2020,12,9
10/12/2020,0,0,2020,12,10
11/12/2020,0,0,2020,12,11
12/12/2020,0,0,2020,12,12
13/12/2020,0,0,2020,12,13
14/12/2020,0,0,2020,12,14
15/12/2020,0,0,2020,12,15
16/12/2020,0,0,2020,12,16
17/12/2020,0,0,2020,12,17
18/12/2020,0,0,2020,12,18
19/12/2020,0,0,2020,12,19
20/12/2020,0,0,2020,12,20
21/12/2020,0,0,2020,12,21
22/12/2020,0,0,2020,12,22
23/12/2020,0,0,2020,12,23
24/12/2020,0,0,2020,12,24
25/12/2020,0,0,2020,12,25
26/12/2020,0,0,2020,12,26
27/12/2020,0,0,2020,12,27
28/12/2020,0,0,2020,12,28
29/12/2020,0,0,2020,12,29
30/12/2020,0,0,2020,12,30
31/12/2020,0,0,2020,12,31
1/1/2021,0,0,2021,1,1
2/1/2021,0,0,2021,1,2
3/1/2021,0,0,2021,1,3
4/1/2021,0,0,2021,1,4
5/1/2021,0,0,2021,1,5
6/1/2021,0,0,2021,1,6
7/1/2021,0,0,2021,1,7
8/1/2021,0,0,2021,1,8
9/1/2021,0,0,2021,1,9
10/1/2021,0,0,2021,1,10
11/1/2021,0,0,2021,1,11
12/1/2021,0,0,2021,1,12
13/1/2021,0,0,2021,1,13
14/1/2021,0,0,2021,1,14
15/1/2021,0,0,2021,1,15
16/1/2021,0,0,2021,1,16
17/1/2021,0,0,2021,1,17
18/1/2021,0,0,2021,1,18
19/1/2021,0,0,2021,1,19
20/1/2021,0,0,2021,1,20
21/1/2021,0,0,2021,1,21
22/1/2021,0,0,2021,1,22
23/1/2021,0,0,2021,1,23
24/1/2021,0,0,2021,1,24
25/1/2021,0,0,2021,1,25
26/1/2021,0,0,2021,1,26
27/1/2021,0,0,2021,1,27
28/1/2021,0,0,2021,1,28
29/1/2021,0,0,2021,1,29
30/1/2021,0,0,2021,1,30
31/1/2021,0,0,2021,1,31
1/2/2021,0,0,2021,2,1
2/2/2021,0,0,2021,2,2
3/2/2021,0,0,2021,2,3
4/2/2021,0,0,2021,2,4
5/2/2021,0,0,2021,2,5
6/2/2021,0,0,2021,2,6
7/2/2021,0,0,2021,2,7
8/2/2021,0,0,2021,2,8
9/2/2021,0,0,2021,2,9
10/2/2021,0,0,2021,2,10
11/2/2021,0,0,2021,2,11
12/2/2021,0,0,2021,2,12
13/2/2021,0,0,2021,2,13
14/2/2021,0,0,2021,2,14
15/2/2021,0,0,2021,2,15
16/2/2021,0,0,2021,2,16
17/2/2021,0,0,2021,2,17
18/2/2021,0,0,2021,2,18
19/2/2021,0,0,2021,2,19
20/2/2021,0,0,2021,2,20
21/2/2021,0,0,2021,2,21
22/2/2021,0,0,2021,2,22
23/2/2021,0,0,2021,2,23
24/2/2021,0,0,2021,2,24
25/2/2021,0,0,2021,2,25
26/2/2021,0,0,2021,2,26
27/2/2021,0,0,2021,2,27
28/2/2021,0,0,2021,2,28
1/3/2021,0,0,2021,3,1
2/3/2021,0,0,2021,3,2
3/3/2021,0,0,2021,3,3
4/3/2021,0,0,2021,3,4
5/3/2021,0,0,2021,3,5
6/3/2021,0,0,2021,3,6
7/3/2021,0,0,2021,3,7
8/3/2021,0,0,2021,3,8
9/3/2021,0,0,2021,3,9
10/3/2021,0,0,2021,3,10
11/3/2021,0,0,2021,3,11
12/3/2021,0,0,2021,3,12
13/3/2021,0,0,2021,3,13
14/3/2021,0,0,2021,3,14
15/3/2021,0,0,2021,3,15
16/3/2021,0,0,2021,3,16
17/3/2021,0,0,2021,3,17
18/3/2021,0,0,2021,3,18
19/3/2021,0,0,2021,3,19
20/3/2021,0,0,2021,3,20
21/3/2021,0,0,2021,3,21
22/3/2021,0,0,2021,3,22
23/3/2021,0,0,2021,3,23
24/3/2021,0,0,2021,3,24
25/3/2021,0,0,2021,3,25
26/3/2021,0,0,2021,3,26
27/3/2021,0,0,2021,3,27
28/3/2021,0,0,2021,3,28
29/3/2021,0,0,2021,3,29
30/3/2021,0,0,2021,3,30
31/3/2021,0,0,2021,3,31
1/4/2021,0,0,2021,4,1
2/4/2021,0,0,2021,4,2
3/4/2021,0,0,2021,4,3
4/4/2021,0,0,2021,4,4
5/4/2021,0,0,2021,4,5
6/4/2021,0,0,2021,4,6
7/4/2021,0,0,2021,4,7
8/4/2021,0,0,2021,4,8
9/4/2021,0,0,2021,4,9
10/4/2021,0,0,2021,4,10
11/4/2021,0,0,2021,4,11
12/4/2021,0,0,2021,4,12
13/4/2021,0,0,2021,4,13
14/4/2021,0,0,2021,4,14
15/4/2021,0,0,2021,4,15
16/4/2021,0,0,2021,4,16
17/4/2021,0,0,2021,4,17
18/4/2021,0,0,2021,4,18
19/4/2021,0,0,2021,4,19
20/4/2021,0,0,2021,4,20
21/4/2021,0,0,2021,4,21
22/4/2021,0,0,2021,4,22
23/4/2021,0,0,2021,4,23
24/4/2021,0,0,2021,4,24
25/4/2021,0,0,2021,4,25
26/4/2021,0,0,2021,4,26
27/4/2021,0,0,2021,4,27
28/4/2021,0,0,2021,4,28
29/4/2021,0,0,2021,4,29
30/4/2021,0,0,2021,4,30
1/5/2021,0,0,2021,5,1
2/5/2021,0,0,2021,5,2
3/5/2021,0,0,2021,5,3
4/5/2021,0,0,2021,5,4
5/5/2021,0,0,2021,5,5
6/5/2021,0,0,2021,5,6
7/5/2021,0,0,2021,5,7
8/5/2021,0,0,2021,5,8
9/5/2021,0,0,2021,5,9
10/5/2021,0,0,2021,5,10
11/5/2021,0,0,2021,5,11
12/5/2021,0,0,2021,5,12
13/5/2021,0,0,2021,5,13
14/5/2021,0,0,2021,5,14
15/5/2021,0,0,2021,5,15
16/5/2021,0,0,2021,5,16
17/5/2021,0,0,2021,5,17
18/5/2021,0,0,2021,5,18
19/5/2021,0,0,2021,5,19
20/5/2021,0,0,2021,5,20
21/5/2021,0,0,2021,5,21
22/5/2021,0,0,2021,5,22
23/5/2021,0,0,2021,5,23
24/5/2021,0,0,2021,5,24
25/5/2021,0,0,2021,5,25
26/5/2021,0,0,2021,5,26
27/5/2021,0,0,2021,5,27
28/5/2021,0,0,2021,5,28
29/5/2021,0,0,2021,5,29
30/5/2021,0,0,2021,5,30
31/5/2021,0,0,2021,5,31
1/6/2021,0,0,2021,6,1
2/6/2021,0,0,2021,6,2
3/6/2021,0,0,2021,6,3
4/6/2021,0,0,2021,6,4
5/6/2021,0,0,2021,6,5
6/6/2021,0,0,2021,6,6
7/6/2021,0,0,2021,6,7
8/6/2021,0,0,2021,6,8
9/6/2021,0,0,2021,6,9
10/6/2021,0,0,2021,6,10
11/6/2021,0,0,2021,6,11
12/6/2021,0,0,2021,6,12
13/6/2021,0,0,2021,6,13
14/6/2021,0,0,2021,6,14
15/6/2021,0,0,2021,6,15
16/6/2021,0,0,2021,6,16
17/6/2021,0,0,2021,6,17
